"""state_val"",""rpt_year"",""revenue"",""income_tax"",""market_cap"",""median_hh_income"""
"""TX"",""2015"",915038000000,10748000000,1312325528200,56473"
"""TX"",""2016"",1094994000000,12526000000,1676333210000,58146"
"""TX"",""2017"",1227025000000,-11259000000,1720997290000,59295"
"""TX"",""2018"",1397857000000,33423000000,1399408080000,59785"
"""TX"",""2019"",1380542000000,22136000000,1641243960000,61874"
"""TX"",""2020"",322767000000,1000000000,150135980000,NULL"
"""UT"",""2015"",2634000000,153000000,16771870000,66258"
"""UT"",""2016"",2951000000,252000000,18512400000,67481"
"""UT"",""2017"",3288000000,348000000,22392600000,71319"
"""UT"",""2018"",3686000000,268000000,20467020000,77067"
"""UT"",""2019"",4004000000,248000000,24073360000,71621"
"""VA"",""2015"",150901000000,8772000000,349434129000,61486"
"""VA"",""2016"",187022000000,13424000000,437927114800,66451"
"""VA"",""2017"",202453000000,7636000000,509624898000,71293"
"""VA"",""2018"",233978000000,7124000000,414846890000,77151"
"""VA"",""2019"",250149000000,6960000000,504258120000,74222"
"""VA"",""2020"",63508000000,675000000,47294340000,NULL"
"""WA"",""2015"",284942802000,5199000000,528958107920,67243"
"""WA"",""2016"",545582147000,10548000000,1277338955620,70310"
"""WA"",""2017"",619758250000,9627643000,1776715798800,75418"
"""WA"",""2018"",721594700000,27192347000,2078460367300,79726"
"""WA"",""2019"",778462713000,9757000000,2781561919480,73775"
"""WA"",""2020"",335640000000,10392000000,2004549800000,NULL"
"""WI"",""2015"",20564000000,1222000000,59771700000,55425"
"""WI"",""2016"",28580000000,1711000000,87092080000,59817"
"""WI"",""2017"",30035000000,1296000000,105650325000,63451"
"""WI"",""2018"",30960000000,1719000000,97003670000,62629"
"""WI"",""2019"",35113000000,911000000,144349490000,61747"
"""WI"",""2020"",6331000000,113000000,29089710000,NULL"
